DateTime                    IWC_z1            IWC_z2            IWC_z3            IWC_z4            IWC_z5            IWC_z6            IWC_z7            IWC_z8            IWC_z9           IWC_z10           IWC_z11           IWC_z12           IWC_z13           IWC_z14           IWC_z15           IWC_z16           IWC_z17           IWC_z18           IWC_z19           IWC_z20           IWC_z21           IWC_z22           IWC_z23           IWC_z24           IWC_z25           IWC_z26           IWC_z27           IWC_z28           IWC_z29           IWC_z30           IWC_z31           IWC_z32           IWC_z33           IWC_z34           IWC_z35           IWC_z36           IWC_z37           IWC_z38           IWC_z39           IWC_z40           IWC_z41           IWC_z42           IWC_z43           IWC_z44           IWC_z45           IWC_z46           IWC_z47           IWC_z48           IWC_z49           IWC_z50           IWC_z51           IWC_z52           IWC_z53           IWC_z54           IWC_z55           IWC_z56           IWC_z57           IWC_z58           IWC_z59           IWC_z60           IWC_z61           IWC_z62           IWC_z63           IWC_z64           IWC_z65           IWC_z66           IWC_z67           IWC_z68           IWC_z69           IWC_z70           IWC_z71           IWC_z72           IWC_z73           IWC_z74           IWC_z75           IWC_z76           IWC_z77           IWC_z78           IWC_z79           IWC_z80           IWC_z81           IWC_z82           IWC_z83           IWC_z84           IWC_z85           IWC_z86           IWC_z87           IWC_z88           IWC_z89           IWC_z90           IWC_z91           IWC_z92           IWC_z93           IWC_z94           IWC_z95           IWC_z96           IWC_z97           IWC_z98           IWC_z99
Height(km)                   0.018             0.054             0.094             0.138             0.185             0.236             0.292             0.353             0.418             0.489             0.566             0.649             0.739             0.835             0.938             1.050             1.169             1.297             1.434             1.581             1.739             1.908             2.079             2.248             2.414             2.578             2.740             2.902             3.063             3.224             3.385             3.546             3.707             3.869             4.032             4.195             4.359             4.524             4.691             4.858             5.026             5.195             5.366             5.537             5.711             5.885             6.062             6.240             6.420             6.602             6.786             6.972             7.161             7.351             7.543             7.738             7.934             8.133             8.334             8.538             8.744             8.954             9.166             9.381             9.598             9.816            10.036            10.258            10.480            10.702            10.923            11.142            11.360            11.578            11.794            12.009            12.224            12.438            12.652            12.865            13.079            13.292            13.505            13.719            13.933            14.146            14.361            14.575            14.790            15.005            15.220            15.435            15.651            15.866            16.082            16.297            16.513            16.728            16.943
26/01/14_00:00      0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000
26/01/14_00:30      0.000548681244    0.000082254141    0.000099754150    0.000049881102    0.000041852349    0.000043513461    0.000049337952    0.000054114629    0.000054045420    0.000049366685    0.000042640266    0.000034772496    0.000024138892    0.000013524006    0.000005518283    0.000001696745    0.000000000792    0.000000000781    0.000000000770    0.000000000808    0.000000000897    0.000000000878    0.000000000865    0.000000000847    0.000000000832    0.000000000817    0.000000000804    0.000000000790    0.000000000776    0.000000000762    0.000000000747    0.000000000733    0.000000000718    0.000000000703    0.000000000689    0.000000000675    0.000000000661    0.000000000647    0.000000000635    0.000000000623    0.000000000611    0.000000000600    0.000000000589    0.000000000577    0.000000000564    0.000000000550    0.000000000535    0.000000000519    0.000000000505    0.000000000491    0.000000000477    0.000000000465    0.000000000453    0.000000000440    0.000000000428    0.000000000417    0.000000000407    0.000000000394    0.000000000378    0.000000000363    0.000000000350    0.000000000339    0.000000000328    0.000000000318    0.000000000308    0.000000000299    0.000000000289    0.000000000279    0.000000000269    0.000000000260    0.000000000250    0.000000000241    0.000000000232    0.000000000224    0.000000000217    0.000000000210    0.000000000203    0.000000000196    0.000000000190    0.000000000183    0.000000000176    0.000000000167    0.000000000159    0.000000000151    0.000000000144    0.000000000137    0.000000000131    0.000000000125    0.000000000120    0.000000000116    0.000000000113    0.000000000110    0.000000000108    0.000000000106    0.000000000105    0.000000000104    0.000000000103    0.000000000101    0.000000000099
26/01/14_01:00      0.009665828198    0.008587054908    0.007935121655    0.007608029526    0.007151112426    0.006706743501    0.006164080463    0.005461490247    0.004698265810    0.003936042544    0.003086201381    0.002222002251    0.001522448729    0.001017920556    0.000590092910    0.000285951857    0.000094829316    0.000014033475    0.000000000773    0.000000000761    0.000000000747    0.000000000733    0.000000000772    0.000000000824    0.000000000816    0.000000000815    0.000000000802    0.000000000790    0.000000000776    0.000000000762    0.000000000747    0.000000000732    0.000000000716    0.000000000700    0.000000000685    0.000000000670    0.000000000656    0.000000000643    0.000000000631    0.000000000618    0.000000000607    0.000000000595    0.000000000583    0.000000000571    0.000000000558    0.000000000544    0.000000000530    0.000000000516    0.000000000502    0.000000000488    0.000000000476    0.000000000464    0.000000000452    0.000000000440    0.000000000427    0.000000000416    0.000000000405    0.000000000392    0.000000000377    0.000000000362    0.000000000349    0.000000000336    0.000000000326    0.000000000316    0.000000000307    0.000000000298    0.000000000289    0.000000000281    0.000000000273    0.000000000265    0.000000000257    0.000000000250    0.000000000243    0.000000000236    0.000000000229    0.000000000223    0.000000000216    0.000000000210    0.000000000203    0.000000000197    0.000000000191    0.000000000184    0.000000000178    0.000000000171    0.000000000165    0.000000000159    0.000000000154    0.000000000148    0.000000000143    0.000000000137    0.000000000133    0.000000000128    0.000000000124    0.000000000119    0.000000000115    0.000000000111    0.000000000108    0.000000000104    0.000000000100
26/01/14_01:30      0.167574793100    0.128286466002    0.128376498818    0.123483374715    0.116414889693    0.107585296035    0.097227901220    0.086553335190    0.074673816562    0.062288671732    0.049936287105    0.037945251912    0.026785057038    0.018001334742    0.010942223482    0.005912407301    0.002789572813    0.000980701763    0.000185292200    0.000000001801    0.000000001242    0.000000000923    0.000000000822    0.000000000832    0.000000000819    0.000000000819    0.000000000801    0.000000000789    0.000000000775    0.000000000761    0.000000000747    0.000000000732    0.000000000716    0.000000000700    0.000000000684    0.000000000669    0.000000000655    0.000000000642    0.000000000629    0.000000000617    0.000000000604    0.000000000592    0.000000000580    0.000000000567    0.000000000554    0.000000000541    0.000000000527    0.000000000514    0.000000000500    0.000000000487    0.000000000475    0.000000000463    0.000000000451    0.000000000439    0.000000000426    0.000000000415    0.000000000404    0.000000000391    0.000000000377    0.000000000363    0.000000000349    0.000000000336    0.000000000325    0.000000000316    0.000000000307    0.000000000298    0.000000000289    0.000000000281    0.000000000273    0.000000000265    0.000000000257    0.000000000250    0.000000000242    0.000000000235    0.000000000229    0.000000000222    0.000000000216    0.000000000209    0.000000000203    0.000000000197    0.000000000190    0.000000000184    0.000000000177    0.000000000171    0.000000000165    0.000000000159    0.000000000153    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000128    0.000000000123    0.000000000119    0.000000000115    0.000000000111    0.000000000108    0.000000000104    0.000000000100
26/01/14_02:00      0.301352530718    0.201481699944    0.193405881524    0.185137853026    0.176223143935    0.166052818298    0.154040321708    0.139620497823    0.123380377889    0.105448625982    0.087682917714    0.069501779974    0.052195023745    0.036570101976    0.023265747353    0.013011305593    0.006238855422    0.002358208178    0.000503880030    0.000000001009    0.000000000812    0.000000000745    0.000000000797    0.000000000830    0.000000000824    0.000000000818    0.000000000803    0.000000000790    0.000000000776    0.000000000762    0.000000000747    0.000000000732    0.000000000717    0.000000000701    0.000000000686    0.000000000671    0.000000000656    0.000000000642    0.000000000629    0.000000000616    0.000000000604    0.000000000591    0.000000000578    0.000000000565    0.000000000552    0.000000000539    0.000000000525    0.000000000512    0.000000000499    0.000000000486    0.000000000474    0.000000000462    0.000000000450    0.000000000438    0.000000000426    0.000000000414    0.000000000404    0.000000000392    0.000000000377    0.000000000363    0.000000000350    0.000000000337    0.000000000325    0.000000000315    0.000000000307    0.000000000298    0.000000000289    0.000000000281    0.000000000273    0.000000000265    0.000000000257    0.000000000249    0.000000000242    0.000000000235    0.000000000228    0.000000000222    0.000000000215    0.000000000209    0.000000000202    0.000000000196    0.000000000190    0.000000000183    0.000000000177    0.000000000171    0.000000000164    0.000000000158    0.000000000153    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000127    0.000000000123    0.000000000119    0.000000000115    0.000000000111    0.000000000108    0.000000000104    0.000000000100
26/01/14_02:30      0.268831223249    0.209359735250    0.215546548367    0.221268191934    0.222649842501    0.220835909247    0.216237947345    0.209090903401    0.198229014874    0.181958466768    0.161117151380    0.136485770345    0.111302144825    0.085183449090    0.060140106827    0.038328774273    0.021615594625    0.010401451029    0.003827818902    0.000870942778    0.000011456013    0.000000000764    0.000000000790    0.000000000829    0.000000000824    0.000000000820    0.000000000803    0.000000000790    0.000000000775    0.000000000760    0.000000000744    0.000000000729    0.000000000713    0.000000000697    0.000000000682    0.000000000667    0.000000000653    0.000000000640    0.000000000627    0.000000000614    0.000000000602    0.000000000589    0.000000000576    0.000000000563    0.000000000550    0.000000000537    0.000000000524    0.000000000511    0.000000000498    0.000000000485    0.000000000473    0.000000000461    0.000000000450    0.000000000438    0.000000000426    0.000000000414    0.000000000403    0.000000000391    0.000000000376    0.000000000362    0.000000000350    0.000000000338    0.000000000326    0.000000000315    0.000000000306    0.000000000297    0.000000000289    0.000000000281    0.000000000272    0.000000000264    0.000000000257    0.000000000249    0.000000000242    0.000000000235    0.000000000228    0.000000000222    0.000000000215    0.000000000208    0.000000000202    0.000000000196    0.000000000189    0.000000000183    0.000000000177    0.000000000170    0.000000000164    0.000000000158    0.000000000153    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000128    0.000000000123    0.000000000119    0.000000000115    0.000000000111    0.000000000108    0.000000000104    0.000000000100
26/01/14_03:00      0.285186141729    0.305246889591    0.319872111082    0.327168554068    0.327652007341    0.322726219893    0.312833338976    0.295868128538    0.273673295975    0.246541783214    0.214486628771    0.181738212705    0.147665321827    0.113513611257    0.081605635583    0.054071344435    0.031877122819    0.015978816897    0.006596074905    0.001778521226    0.000179898634    0.000000000815    0.000000000837    0.000000000837    0.000000000832    0.000000000821    0.000000000804    0.000000000788    0.000000000771    0.000000000755    0.000000000739    0.000000000722    0.000000000706    0.000000000691    0.000000000676    0.000000000663    0.000000000649    0.000000000637    0.000000000624    0.000000000612    0.000000000599    0.000000000586    0.000000000573    0.000000000560    0.000000000547    0.000000000534    0.000000000521    0.000000000509    0.000000000496    0.000000000484    0.000000000473    0.000000000461    0.000000000450    0.000000000438    0.000000000427    0.000000000415    0.000000000403    0.000000000390    0.000000000375    0.000000000361    0.000000000349    0.000000000339    0.000000000328    0.000000000316    0.000000000305    0.000000000297    0.000000000288    0.000000000280    0.000000000272    0.000000000264    0.000000000256    0.000000000249    0.000000000242    0.000000000235    0.000000000228    0.000000000221    0.000000000215    0.000000000208    0.000000000202    0.000000000195    0.000000000189    0.000000000183    0.000000000176    0.000000000170    0.000000000164    0.000000000158    0.000000000153    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000128    0.000000000123    0.000000000119    0.000000000115    0.000000000112    0.000000000108    0.000000000104    0.000000000100
26/01/14_03:30      0.366608083248    0.355399847031    0.340152949095    0.320961415768    0.298658370972    0.275430649519    0.251576900482    0.226805672050    0.201332122087    0.175588503480    0.151120334864    0.126936584711    0.103301614523    0.080735303462    0.059642534703    0.040711797774    0.024927657098    0.013077747077    0.005745514762    0.001816130942    0.000302176544    0.000000000872    0.000000000743    0.000000000826    0.000000000818    0.000000000819    0.000000000801    0.000000000785    0.000000000766    0.000000000749    0.000000000733    0.000000000717    0.000000000702    0.000000000687    0.000000000674    0.000000000660    0.000000000648    0.000000000635    0.000000000622    0.000000000609    0.000000000597    0.000000000584    0.000000000571    0.000000000558    0.000000000545    0.000000000533    0.000000000520    0.000000000507    0.000000000495    0.000000000483    0.000000000471    0.000000000460    0.000000000449    0.000000000438    0.000000000427    0.000000000415    0.000000000402    0.000000000389    0.000000000375    0.000000000361    0.000000000349    0.000000000339    0.000000000330    0.000000000318    0.000000000306    0.000000000296    0.000000000288    0.000000000279    0.000000000271    0.000000000263    0.000000000256    0.000000000249    0.000000000242    0.000000000235    0.000000000228    0.000000000221    0.000000000215    0.000000000208    0.000000000202    0.000000000195    0.000000000189    0.000000000183    0.000000000176    0.000000000170    0.000000000164    0.000000000158    0.000000000153    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000128    0.000000000123    0.000000000119    0.000000000115    0.000000000112    0.000000000108    0.000000000104    0.000000000100
26/01/14_04:00      0.222576901317    0.197703972459    0.170897766948    0.148410543799    0.129163414240    0.112673722208    0.097587443888    0.083711966872    0.070802032948    0.058724638075    0.047378756106    0.036762624979    0.027029180899    0.018455149606    0.012116450816    0.007187965792    0.003876042785    0.001751948497    0.000624377048    0.000096524767    0.000008241152    0.000000000927    0.000000000739    0.000000000779    0.000000000809    0.000000000818    0.000000000797    0.000000000780    0.000000000761    0.000000000745    0.000000000729    0.000000000714    0.000000000699    0.000000000685    0.000000000672    0.000000000659    0.000000000646    0.000000000633    0.000000000620    0.000000000607    0.000000000594    0.000000000582    0.000000000570    0.000000000558    0.000000000545    0.000000000533    0.000000000520    0.000000000507    0.000000000494    0.000000000481    0.000000000469    0.000000000458    0.000000000447    0.000000000436    0.000000000426    0.000000000414    0.000000000402    0.000000000389    0.000000000376    0.000000000363    0.000000000350    0.000000000340    0.000000000330    0.000000000320    0.000000000308    0.000000000296    0.000000000287    0.000000000279    0.000000000270    0.000000000263    0.000000000255    0.000000000248    0.000000000241    0.000000000234    0.000000000228    0.000000000221    0.000000000214    0.000000000208    0.000000000201    0.000000000195    0.000000000189    0.000000000182    0.000000000176    0.000000000170    0.000000000164    0.000000000158    0.000000000153    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000127    0.000000000123    0.000000000119    0.000000000115    0.000000000111    0.000000000108    0.000000000104    0.000000000100
