DateTime                   Nisg_z1           Nisg_z2           Nisg_z3           Nisg_z4           Nisg_z5           Nisg_z6           Nisg_z7           Nisg_z8           Nisg_z9          Nisg_z10          Nisg_z11          Nisg_z12          Nisg_z13          Nisg_z14          Nisg_z15          Nisg_z16          Nisg_z17          Nisg_z18          Nisg_z19          Nisg_z20          Nisg_z21          Nisg_z22          Nisg_z23          Nisg_z24          Nisg_z25          Nisg_z26          Nisg_z27          Nisg_z28          Nisg_z29          Nisg_z30          Nisg_z31          Nisg_z32          Nisg_z33          Nisg_z34          Nisg_z35          Nisg_z36          Nisg_z37          Nisg_z38          Nisg_z39          Nisg_z40          Nisg_z41          Nisg_z42          Nisg_z43          Nisg_z44          Nisg_z45          Nisg_z46          Nisg_z47          Nisg_z48          Nisg_z49          Nisg_z50          Nisg_z51          Nisg_z52          Nisg_z53          Nisg_z54          Nisg_z55          Nisg_z56          Nisg_z57          Nisg_z58          Nisg_z59          Nisg_z60          Nisg_z61          Nisg_z62          Nisg_z63          Nisg_z64          Nisg_z65          Nisg_z66          Nisg_z67          Nisg_z68          Nisg_z69          Nisg_z70          Nisg_z71          Nisg_z72          Nisg_z73          Nisg_z74          Nisg_z75          Nisg_z76          Nisg_z77          Nisg_z78          Nisg_z79          Nisg_z80          Nisg_z81          Nisg_z82          Nisg_z83          Nisg_z84          Nisg_z85          Nisg_z86          Nisg_z87          Nisg_z88          Nisg_z89          Nisg_z90          Nisg_z91          Nisg_z92          Nisg_z93          Nisg_z94          Nisg_z95          Nisg_z96          Nisg_z97          Nisg_z98          Nisg_z99
Height(km)                   0.018             0.054             0.094             0.138             0.185             0.236             0.292             0.353             0.418             0.489             0.566             0.649             0.739             0.835             0.938             1.050             1.169             1.297             1.434             1.581             1.739             1.908             2.079             2.248             2.414             2.578             2.740             2.902             3.063             3.224             3.385             3.546             3.707             3.869             4.032             4.195             4.359             4.524             4.691             4.858             5.026             5.195             5.366             5.537             5.711             5.885             6.062             6.240             6.420             6.602             6.786             6.972             7.161             7.351             7.543             7.738             7.934             8.133             8.334             8.538             8.744             8.954             9.166             9.381             9.598             9.816            10.036            10.258            10.480            10.702            10.923            11.142            11.360            11.578            11.794            12.009            12.224            12.438            12.652            12.865            13.079            13.292            13.505            13.719            13.933            14.146            14.361            14.575            14.790            15.005            15.220            15.435            15.651            15.866            16.082            16.297            16.513            16.728            16.943
26/01/14_00:00      0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000    0.000000000000
26/01/14_00:30     10.024710655212    1.087131738663    1.165759801865    1.038829684258    1.007523298264    0.999848544598    0.996894061565    0.997285842896    1.013041257858    1.055864572525    1.129421114922    1.136211037636    1.150306820869    1.174106001854    1.148179769516    0.997131586075    0.104379162192    0.000048309859    0.000023825611    0.000010541547    0.000003975927    0.000000719078    0.000000071199    0.000000022909    0.000000000691    0.000000000678    0.000000001077    0.000000000876    0.000000000679    0.000000000734    0.000000000619    0.000000000622    0.000000000600    0.000000000589    0.000000000578    0.000000000569    0.000000000559    0.000000000549    0.000000000538    0.000000000528    0.000000000518    0.000000000507    0.000000000497    0.000000000486    0.000000000475    0.000000000465    0.000000000454    0.000000000443    0.000000000432    0.000000000420    0.000000000408    0.000000000395    0.000000000383    0.000000000370    0.000000000358    0.000000000346    0.000000000335    0.000000000323    0.000000000312    0.000000000301    0.000000000290    0.000000000281    0.000000000271    0.000000000263    0.000000000255    0.000000000247    0.000000000240    0.000000000233    0.000000000226    0.000000000220    0.000000000213    0.000000000207    0.000000000201    0.000000000195    0.000000000190    0.000000000184    0.000000000179    0.000000000173    0.000000000168    0.000000000163    0.000000000157    0.000000000152    0.000000000146    0.000000000141    0.000000000136    0.000000000131    0.000000000127    0.000000000122    0.000000000118    0.000000000114    0.000000000110    0.000000000106    0.000000000102    0.000000000099    0.000000000096    0.000000000092    0.000000000089    0.000000000086    0.000000000083
26/01/14_01:00     16.363964080811    1.137840986252    1.065079927444    1.031437516212    1.012361645699    1.033940315247    1.045611858368    1.057890892029    1.078395724297    1.074892997742    1.067948698997    1.083786725998    1.111839890480    1.136742115021    1.157509684563    1.172648310661    1.157363414764    1.135326027870    1.105615973473    0.998187601566    0.000062065126    0.000003503870    0.000000011445    0.000000058289    0.000000000693    0.000000010935    0.000000025236    0.000000045729    0.000000000659    0.000000001197    0.000000000643    0.000000000609    0.000000000606    0.000000000615    0.005967714358    0.063441999257    0.118382543325    0.233725234866    0.575407624245    0.672656655312    2.654702663422    0.104784153402    0.396832585335    0.000441531942    0.000000000476    0.000000000465    0.000000000454    0.000000000442    0.000000000431    0.000000000419    0.000000000407    0.000000000395    0.000000000383    0.000000000371    0.000000000358    0.000000000346    0.000000000334    0.000000000321    0.000000000310    0.000000000299    0.000000000289    0.000000000280    0.000000000271    0.000000000263    0.000000000255    0.000000000247    0.000000000240    0.000000000233    0.000000000226    0.000000000219    0.000000000213    0.000000000207    0.000000000201    0.000000000195    0.000000000190    0.000000000184    0.000000000179    0.000000000174    0.000000000168    0.000000000163    0.000000000158    0.000000000152    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000127    0.000000000123    0.000000000118    0.000000000114    0.000000000110    0.000000000106    0.000000000103    0.000000000099    0.000000000096    0.000000000092    0.000000000089    0.000000000086    0.000000000083
26/01/14_01:30      1.604795098305    1.306595802307    1.135159969330    1.513331294060    1.446844339371    1.352513074875    1.321065545082    1.256573557854    1.220358371735    1.181995153427    1.152639865875    1.131039500237    1.125221490860    1.128695607185    1.140246391296    1.155173897743    1.168294191360    1.175628304482    1.171707391739    1.132856249809    0.993286550045    0.000409317377    0.000139941534    0.003371400759    0.005488190334    0.009253832512    0.014659607783    0.025066519156    0.043550692499    0.083678163588    0.180455967784    0.405063658953    0.843724370003    1.534070134163    2.655143260956    5.421929836273   14.529852867126   41.274314880371   89.749618530273  143.134429931641  181.863861083984  183.678085327148  141.056304931641   74.015914916992   17.618619918823    0.015050366521    0.000000000454    0.000000000441    0.000000000429    0.000000000417    0.000000000405    0.000000000393    0.000000000382    0.000000000371    0.000000000359    0.000000000346    0.000000000333    0.000000000320    0.000000000308    0.000000000298    0.000000000288    0.000000000279    0.000000000271    0.000000000263    0.000000000255    0.000000000248    0.000000000240    0.000000000233    0.000000000226    0.000000000219    0.000000000213    0.000000000207    0.000000000201    0.000000000195    0.000000000190    0.000000000184    0.000000000179    0.000000000173    0.000000000168    0.000000000162    0.000000000157    0.000000000152    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000127    0.000000000122    0.000000000118    0.000000000113    0.000000000109    0.000000000105    0.000000000102    0.000000000098    0.000000000095    0.000000000092    0.000000000089    0.000000000086    0.000000000083
26/01/14_02:00    121.770492553711    2.067966461182    1.283169269562    1.854218602180    1.736636281013    1.768428087234    1.446366548538    1.324040770531    1.193093061447    1.145120620728    1.098617672920    1.077166080475    1.067514181137    1.066918015480    1.071732401848    1.082378983498    1.095382928848    1.107981324196    1.117715954781    1.127737879753    1.123243331909    1.082518458366    0.964689731598    0.118234321475    0.003272263566    0.007543293759    0.009388484061    0.014094838873    0.059235099703    0.091678075492    0.139112889767    0.213396742940    0.422684103251    1.095898151398    3.409749507904   11.216830253601   33.523754119873   72.206649780273  113.230461120605  140.177047729492  135.890243530273   96.277603149414   42.594295501709    5.961647510529    0.000000000475    0.000000000463    0.000000000452    0.000000000440    0.000000000429    0.000000000418    0.000000000407    0.000000000395    0.000000000382    0.000000000370    0.000000000358    0.000000000345    0.000000000332    0.000000000320    0.000000000307    0.000000000296    0.000000000286    0.000000000277    0.000000000269    0.000000000262    0.000000000254    0.000000000247    0.000000000239    0.000000000232    0.000000000226    0.000000000219    0.000000000213    0.000000000207    0.000000000201    0.000000000195    0.000000000189    0.000000000184    0.000000000178    0.000000000173    0.000000000168    0.000000000163    0.000000000158    0.000000000153    0.000000000147    0.000000000142    0.000000000137    0.000000000132    0.000000000126    0.000000000121    0.000000000116    0.000000000112    0.000000000108    0.000000000104    0.000000000101    0.000000000098    0.000000000094    0.000000000091    0.000000000088    0.000000000086    0.000000000083
26/01/14_02:30    403.281616210938   13.698976516724    2.113430976868    2.500571489334    1.663274288177    1.296312451363    1.446193099022    1.351943135262    1.271022200584    1.202874302864    1.148052215576    1.101698517799    1.074941873550    1.073414683342    1.088523507118    1.108847141266    1.128733873367    1.144561648369    1.149118542671    1.146722555161    1.140452265739    1.106586217880    0.988131165504    0.000000906593    0.000000386158    0.000000122934    0.000000042743    0.000000012060    0.000000003545    0.000000001603    0.000000000621    0.000000000610    0.000000000605    0.000000000591    0.000000000581    0.000000000567    0.000000000561    0.000000000556    0.000000000554    0.000000000552    0.000000000552    0.000000000552    0.000000000551    0.000000000549    0.000000000544    0.000000000537    0.000000000527    0.000000000515    0.000000000500    0.000000000479    0.000000000452    0.000000000419    0.000000000390    0.000000000372    0.000000000360    0.000000000347    0.000000000335    0.000000000322    0.000000000310    0.000000000298    0.000000000288    0.000000000278    0.000000000269    0.000000000261    0.000000000254    0.000000000246    0.000000000239    0.000000000232    0.000000000226    0.000000000219    0.000000000213    0.000000000207    0.000000000201    0.000000000195    0.000000000190    0.000000000184    0.000000000179    0.000000000173    0.000000000168    0.000000000163    0.000000000158    0.000000000153    0.000000000148    0.000000000143    0.000000000137    0.000000000132    0.000000000127    0.000000000121    0.000000000116    0.000000000112    0.000000000108    0.000000000104    0.000000000101    0.000000000098    0.000000000094    0.000000000091    0.000000000089    0.000000000086    0.000000000083
26/01/14_03:00      0.997428417206    1.970689773560    9.269004821777    3.630747079849    2.083152770996    2.701988220215    2.996462106705    2.751901865005    2.449486255646    2.148391962051    1.887064099312    1.680541276932    1.514748930931    1.406969070435    1.333161830902    1.291815638542    1.268900156021    1.254711031914    1.239744901657    1.207616448402    1.137404680252    0.975962221622    0.000000427538    0.000001087833    0.000001279030    0.000000454685    0.000000093998    0.000000045954    0.000000008136    0.000000002597    0.000000000628    0.000000000611    0.000000000695    0.000000000676    0.000000000679    0.000000000654    0.000000000641    0.000000000630    0.000000000618    0.000000000606    0.000000000593    0.000000000581    0.000000000568    0.000000000556    0.000000000544    0.000000000533    0.000000000521    0.000000000510    0.000000000498    0.000000000487    0.000000000477    0.000000000464    0.000000000444    0.000000000414    0.000000000379    0.000000000352    0.000000000338    0.000000000326    0.000000000314    0.000000000302    0.000000000290    0.000000000280    0.000000000270    0.000000000262    0.000000000254    0.000000000246    0.000000000239    0.000000000232    0.000000000226    0.000000000219    0.000000000213    0.000000000207    0.000000000201    0.000000000196    0.000000000190    0.000000000184    0.000000000179    0.000000000174    0.000000000169    0.000000000164    0.000000000159    0.000000000154    0.000000000148    0.000000000143    0.000000000138    0.000000000132    0.000000000127    0.000000000122    0.000000000117    0.000000000112    0.000000000108    0.000000000105    0.000000000101    0.000000000098    0.000000000095    0.000000000092    0.000000000089    0.000000000086    0.000000000083
26/01/14_03:30   1823.569091796875  290.757781982422   58.020034790039    6.320911407471    1.923766970634    1.898317694664    2.417848348618    2.322296142578    2.037976026535    1.757089972496    1.533447027206    1.374304413795    1.271455526352    1.218235135078    1.192488431931    1.186555862427    1.189250588417    1.192218065262    1.182794451714    1.131645679474    0.998473942280    0.000003892513    0.000001610813    0.000000669133    0.000000284138    0.000000120563    0.000000040706    0.000000000654    0.000000000642    0.000000000629    0.000000000617    0.000000000606    0.000000000634    0.000000000944    0.000000000729    0.000000000705    0.000000000693    0.000000000632    0.000000000602    0.000000000596    0.000000000590    0.000000000580    0.000000000568    0.000000000556    0.000000000543    0.000000000531    0.000000000519    0.000000000507    0.000000000495    0.000000000483    0.000000000471    0.000000000460    0.000000000451    0.000000000441    0.000000000426    0.000000000399    0.000000000363    0.000000000332    0.000000000317    0.000000000305    0.000000000293    0.000000000282    0.000000000271    0.000000000262    0.000000000253    0.000000000245    0.000000000238    0.000000000231    0.000000000225    0.000000000218    0.000000000212    0.000000000206    0.000000000200    0.000000000195    0.000000000189    0.000000000184    0.000000000179    0.000000000173    0.000000000168    0.000000000163    0.000000000158    0.000000000153    0.000000000148    0.000000000142    0.000000000137    0.000000000132    0.000000000126    0.000000000121    0.000000000117    0.000000000112    0.000000000108    0.000000000105    0.000000000101    0.000000000098    0.000000000095    0.000000000092    0.000000000089    0.000000000086    0.000000000083
26/01/14_04:00    744.375610351562   85.467918395996   15.030733108521    2.112302303314    1.453691482544    1.664114832878    1.738869428635    1.893706321716    2.000205278397    2.114905834198    2.186697244644    2.215404033661    2.191122531891    2.109742164612    1.973993420601    1.788363218307    1.561142206192    1.353213667870    1.223577976227    1.139097929001    0.995776534081    0.460492134094    0.036676220596    0.000195211091    0.000000019298    0.000000000684    0.000000000669    0.000000000655    0.000000000642    0.000000000629    0.000000000616    0.000000000651    0.000000000985    0.000000000730    0.000000000675    0.000000000647    0.000000000609    0.000000000579    0.000000000580    0.000000000588    0.000000000588    0.000000000578    0.000000000565    0.000000000552    0.000000000539    0.000000000525    0.000000000512    0.000000000499    0.000000000487    0.000000000475    0.000000000463    0.000000000453    0.000000000445    0.000000000437    0.000000000427    0.000000000417    0.000000000406    0.000000000388    0.000000000358    0.000000000322    0.000000000298    0.000000000286    0.000000000275    0.000000000265    0.000000000256    0.000000000248    0.000000000240    0.000000000232    0.000000000225    0.000000000218    0.000000000212    0.000000000206    0.000000000200    0.000000000195    0.000000000190    0.000000000184    0.000000000179    0.000000000174    0.000000000169    0.000000000164    0.000000000159    0.000000000154    0.000000000149    0.000000000144    0.000000000139    0.000000000133    0.000000000128    0.000000000123    0.000000000118    0.000000000113    0.000000000109    0.000000000105    0.000000000101    0.000000000098    0.000000000095    0.000000000092    0.000000000089    0.000000000086    0.000000000083
