DateTime                      Nisg               IWC               LWC
26/01/14_00:00      0.000000000000    0.000000000000    0.000000000000
26/01/14_00:30     10.024710655212    0.000055541015    0.053164262325
26/01/14_01:00     16.363964080811    0.000134950271    0.295355558395
26/01/14_01:30      1.604795098305    0.005815238692    0.578456759453
26/01/14_02:00    121.770492553711    0.075673684478    0.763224244118
26/01/14_02:30    403.281616210938    0.186333343387    0.983882904053
26/01/14_03:00      0.997428417206    0.073943652213    1.512692809105
26/01/14_03:30   1823.569091796875    1.863753080368    1.436933875084
26/01/14_04:00    744.375610351562    0.378725767136    1.102244377136
26/01/14_04:30   1560.439086914062    1.636865615845    1.555716753006
26/01/14_05:00    927.145446777344    0.629730105400    1.491540431976
26/01/14_05:30   1859.061157226562    1.976292610168    1.345236778259
26/01/14_06:00   1618.436523437500    1.574183940887    1.066355943680
